,dt,open,close,high,low,vol,ts
0,2023-08-31 21:31:00,187.84,188.07,188.36,187.21,1444266,169348866
1,2023-08-31 21:32:00,188.1,188.324,188.324,188.1,240411,169348872
2,2023-08-31 21:33:00,188.34,188.07,188.34,188.07,227592,169348878
3,2023-08-31 21:34:00,187.951,188.213,188.213,187.86,286476,169348884
4,2023-08-31 21:35:00,188.14,187.79,188.18,187.79,183540,169348890
5,2023-08-31 21:36:00,187.909,187.75,187.909,187.741,215642,169348896
6,2023-08-31 21:37:00,187.78,187.94,187.96,187.73,215937,169348902
7,2023-08-31 21:38:00,187.96,187.925,188.09,187.911,152659,169348908
8,2023-08-31 21:39:00,188.02,188.145,188.145,187.99,149222,169348914
9,2023-08-31 21:40:00,188.166,188.183,188.249,188.166,140807,169348920
10,2023-08-31 21:41:00,188.2,188.12,188.26,188.12,163084,169348926
11,2023-08-31 21:42:00,188.24,188.2,188.31,188.2,173681,169348932
12,2023-08-31 21:43:00,188.07,188.09,188.18,188.07,175604,169348938
13,2023-08-31 21:44:00,188.15,188.045,188.15,188.045,136290,169348944
14,2023-08-31 21:45:00,188.0,188.16,188.16,188.0,134580,169348950
15,2023-08-31 21:46:00,188.24,188.36,188.49,188.24,338100,169348956
16,2023-08-31 21:47:00,188.395,188.159,188.43,188.159,184123,169348962
17,2023-08-31 21:48:00,188.02,188.03,188.15,188.02,221202,169348968
18,2023-08-31 21:49:00,188.02,187.877,188.02,187.87,210289,169348974
19,2023-08-31 21:50:00,187.98,187.91,187.98,187.84,135575,169348980
20,2023-08-31 21:51:00,187.98,187.72,188.03,187.72,243314,169348986
21,2023-08-31 21:52:00,187.85,187.94,187.945,187.85,121742,169348992
22,2023-08-31 21:53:00,188.02,188.12,188.12,187.99,143095,169348998
23,2023-08-31 21:54:00,188.131,188.279,188.279,188.131,164286,169349004
24,2023-08-31 21:55:00,188.25,188.2,188.268,188.2,117436,169349010
25,2023-08-31 21:56:00,188.201,188.25,188.25,188.14,99711,169349016
26,2023-08-31 21:57:00,188.23,188.095,188.245,188.095,112823,169349022
27,2023-08-31 21:58:00,188.19,188.24,188.27,188.19,120376,169349028
28,2023-08-31 21:59:00,188.21,188.14,188.21,188.02,136808,169349034
29,2023-08-31 22:00:00,188.15,188.054,188.15,188.05,107426,169349040
30,2023-08-31 22:01:00,188.135,188.25,188.25,188.135,147928,169349046
31,2023-08-31 22:02:00,188.241,188.26,188.26,188.125,67788,169349052
32,2023-08-31 22:03:00,188.19,187.92,188.19,187.92,168686,169349058
33,2023-08-31 22:04:00,187.88,187.96,187.96,187.88,105839,169349064
34,2023-08-31 22:05:00,187.945,187.9,187.945,187.9,125434,169349070
35,2023-08-31 22:06:00,187.93,187.81,187.93,187.81,166289,169349076
36,2023-08-31 22:07:00,187.73,187.73,187.8,187.67,170655,169349082
37,2023-08-31 22:08:00,187.73,187.71,187.86,187.71,133809,169349088
38,2023-08-31 22:09:00,187.765,187.82,187.84,187.765,89646,169349094
39,2023-08-31 22:10:00,187.82,187.82,187.82,187.79,86616,169349100
40,2023-08-31 22:11:00,187.83,187.74,187.88,187.74,162153,169349106
41,2023-08-31 22:12:00,187.68,187.84,187.84,187.67,136696,169349112
42,2023-08-31 22:13:00,187.88,188.01,188.01,187.88,123723,169349118
43,2023-08-31 22:14:00,188.007,188.165,188.165,188.007,120611,169349124
44,2023-08-31 22:15:00,188.13,188.206,188.206,188.13,110386,169349130
45,2023-08-31 22:16:00,188.13,188.19,188.19,188.1,77489,169349136
46,2023-08-31 22:17:00,188.19,188.12,188.19,188.076,64333,169349142
47,2023-08-31 22:18:00,188.145,188.16,188.175,188.14,72679,169349148
