,dt,open,close,high,low,vol
0,2023-08-09 21:31:00,323.54,323.39,324.75,323.1,365542
1,2023-08-09 21:32:00,323.56,323.65,323.9,323.56,40963
2,2023-08-09 21:33:00,323.34,323.22,323.34,322.95,88008
3,2023-08-09 21:34:00,323.395,323.55,323.665,323.27,47452
4,2023-08-09 21:35:00,323.69,323.82,324.03,323.69,53284
5,2023-08-09 21:36:00,323.7,323.69,323.75,323.66,59799
6,2023-08-09 21:37:00,323.87,323.62,323.87,323.455,53372
7,2023-08-09 21:38:00,323.54,323.265,323.54,323.115,73799
8,2023-08-09 21:39:00,323.18,323.16,323.18,323.1,63748
9,2023-08-09 21:40:00,323.02,322.53,323.02,322.53,77900
10,2023-08-09 21:41:00,322.555,322.615,322.615,322.44,38629
11,2023-08-09 21:42:00,322.585,322.76,322.97,322.585,42808
12,2023-08-09 21:43:00,322.755,322.72,322.9,322.72,29533
13,2023-08-09 21:44:00,322.435,322.04,322.435,322.04,61583
14,2023-08-09 21:45:00,321.81,322.15,322.15,321.81,56132
15,2023-08-09 21:46:00,321.905,322.07,322.07,321.83,24745
16,2023-08-09 21:47:00,322.23,322.145,322.28,321.925,41896
17,2023-08-09 21:48:00,322.26,322.15,322.26,322.09,21771
18,2023-08-09 21:49:00,322.005,322.26,322.26,322.005,42415
19,2023-08-09 21:50:00,322.19,322.305,322.305,322.135,40052
20,2023-08-09 21:51:00,322.4,322.22,322.87,322.22,74268
21,2023-08-09 21:52:00,322.213,322.26,322.26,321.93,47932
22,2023-08-09 21:53:00,322.36,321.88,322.36,321.815,43809
23,2023-08-09 21:54:00,321.859,321.76,321.92,321.76,31974
24,2023-08-09 21:55:00,321.82,321.78,321.9,321.75,58948
25,2023-08-09 21:56:00,321.82,321.81,321.935,321.81,25419
26,2023-08-09 21:57:00,321.78,321.84,321.942,321.78,23281
27,2023-08-09 21:58:00,321.77,321.925,321.99,321.77,33259
28,2023-08-09 21:59:00,321.76,321.85,321.85,321.545,52766
29,2023-08-09 22:00:00,321.86,321.839,321.86,321.805,42150
30,2023-08-09 22:01:00,321.865,322.29,322.29,321.775,55754
31,2023-08-09 22:02:00,322.365,322.46,322.488,322.365,46007
32,2023-08-09 22:03:00,322.41,322.16,322.41,322.16,34668
33,2023-08-09 22:04:00,322.155,322.134,322.155,322.015,30141
34,2023-08-09 22:05:00,322.09,322.11,322.153,322.065,27571
35,2023-08-09 22:06:00,322.09,322.075,322.145,321.99,24616
36,2023-08-09 22:07:00,322.11,321.935,322.11,321.79,32482
37,2023-08-09 22:08:00,321.81,321.91,321.91,321.77,25635
38,2023-08-09 22:09:00,321.98,321.74,321.98,321.74,31513
39,2023-08-09 22:10:00,321.86,321.89,321.89,321.7,25159
40,2023-08-09 22:11:00,321.95,322.22,322.3,321.95,41875
41,2023-08-09 22:12:00,322.221,322.065,322.221,322.065,37540
42,2023-08-09 22:13:00,322.16,322.225,322.42,322.16,44326
43,2023-08-09 22:14:00,322.065,321.985,322.065,321.905,30941
44,2023-08-09 22:15:00,321.9,321.98,321.98,321.835,39890
45,2023-08-09 22:16:00,321.91,321.89,321.99,321.84,41559
46,2023-08-09 22:17:00,321.89,321.78,322.015,321.78,35731
47,2023-08-09 22:18:00,321.83,321.76,321.924,321.73,35026
48,2023-08-09 22:19:00,321.85,321.88,321.899,321.85,31103
49,2023-08-09 22:20:00,321.9,321.72,321.9,321.7,29549
50,2023-08-09 22:21:00,321.79,321.47,321.79,321.47,41277
51,2023-08-09 22:22:00,321.513,321.36,321.68,321.36,39039
52,2023-08-09 22:23:00,321.46,321.79,321.79,321.398,36262
53,2023-08-09 22:24:00,321.835,321.74,321.835,321.735,22681
54,2023-08-09 22:25:00,321.58,321.41,321.58,321.41,30123
55,2023-08-09 22:26:00,321.54,321.38,321.54,321.38,45347
56,2023-08-09 22:27:00,321.34,321.315,321.38,321.3,30155
57,2023-08-09 22:28:00,321.358,321.25,321.358,321.185,57649
58,2023-08-09 22:29:00,321.26,321.26,321.45,321.26,33477
59,2023-08-09 22:30:00,321.32,321.3,321.495,321.3,34720
60,2023-08-09 22:31:00,321.37,321.52,321.65,321.34,32988
61,2023-08-09 22:32:00,321.55,321.49,321.57,321.46,25105
62,2023-08-09 22:33:00,321.54,321.49,321.54,321.45,34000
63,2023-08-09 22:34:00,321.505,321.46,321.52,321.37,41927
64,2023-08-09 22:35:00,321.485,321.41,321.53,321.41,27929
65,2023-08-09 22:36:00,321.26,321.63,321.63,321.26,45933
66,2023-08-09 22:37:00,321.56,321.54,321.62,321.47,32077
67,2023-08-09 22:38:00,321.55,321.53,321.75,321.53,24476
68,2023-08-09 22:39:00,321.55,321.485,321.55,321.392,28411
69,2023-08-09 22:40:00,321.47,321.62,321.64,321.422,24669
70,2023-08-09 22:41:00,321.5,321.42,321.54,321.42,20731
71,2023-08-09 22:42:00,321.48,321.334,321.48,321.334,19892
72,2023-08-09 22:43:00,321.367,321.352,321.367,321.225,29103
73,2023-08-09 22:44:00,321.32,321.59,321.59,321.32,24317
74,2023-08-09 22:45:00,321.62,321.54,321.7,321.54,21707
75,2023-08-09 22:46:00,321.53,321.57,321.57,321.35,22882
76,2023-08-09 22:47:00,321.68,321.59,321.74,321.5,30043
77,2023-08-09 22:48:00,321.61,321.63,321.72,321.58,22786
78,2023-08-09 22:49:00,321.645,321.46,321.645,321.46,28295
79,2023-08-09 22:50:00,321.37,321.235,321.39,321.235,30553
80,2023-08-09 22:51:00,321.16,321.23,321.29,321.16,40465
81,2023-08-09 22:52:00,321.11,320.832,321.11,320.805,79190
82,2023-08-09 22:53:00,320.789,320.54,320.789,320.54,72670
83,2023-08-09 22:54:00,320.5,320.7,320.7,320.5,55456
84,2023-08-09 22:55:00,320.69,320.485,320.775,320.485,48274
85,2023-08-09 22:56:00,320.49,320.39,320.49,320.39,45754
86,2023-08-09 22:57:00,320.54,320.165,320.54,320.165,50808
87,2023-08-09 22:58:00,320.17,320.31,320.31,320.17,88263
88,2023-08-09 22:59:00,320.39,320.19,320.39,320.182,45085
89,2023-08-09 23:00:00,320.16,320.01,320.195,320.01,45658
90,2023-08-09 23:01:00,319.88,319.86,319.928,319.84,65463
91,2023-08-09 23:02:00,319.92,319.906,319.94,319.805,73335
92,2023-08-09 23:03:00,320.01,320.35,320.35,320.01,63914
93,2023-08-09 23:04:00,320.365,320.601,320.601,320.325,58748
94,2023-08-09 23:05:00,320.57,320.675,320.69,320.57,33640
95,2023-08-09 23:06:00,320.697,320.73,320.73,320.65,37916
96,2023-08-09 23:07:00,320.67,320.65,320.67,320.56,33400
