,dt,open,close,high,low,vol
0,2024-02-27 22:31:00,793.77,792.2,794.96,786.96,1666004
1,2024-02-27 22:32:00,791.6,790.85,791.6,790.27,298086
2,2024-02-27 22:33:00,790.89,790.53,792.26,790.29,243768
3,2024-02-27 22:34:00,791.62,793.37,793.85,791.62,288396
4,2024-02-27 22:35:00,792.27,793.76,793.76,792.27,191776
5,2024-02-27 22:36:00,793.22,791.86,793.22,791.86,155047
6,2024-02-27 22:37:00,791.33,788.5,791.33,787.75,300296
7,2024-02-27 22:38:00,787.01,785.16,787.27,785.16,384869
8,2024-02-27 22:39:00,784.36,783.06,784.36,783.06,452804
9,2024-02-27 22:40:00,783.1,781.26,783.1,781.26,435387
10,2024-02-27 22:41:00,780.22,777.76,780.35,777.64,583023
11,2024-02-27 22:42:00,777.2,772.05,777.2,771.99,741248
12,2024-02-27 22:43:00,775.54,774.97,775.81,774.63,551445
13,2024-02-27 22:44:00,776.07,773.73,777.16,773.73,433984
14,2024-02-27 22:45:00,774.56,778.4,778.4,774.56,328138
15,2024-02-27 22:46:00,777.53,778.16,778.16,776.63,253772
16,2024-02-27 22:47:00,776.66,779.4,779.4,776.66,277611
17,2024-02-27 22:48:00,779.58,781.57,781.57,779.58,363656
18,2024-02-27 22:49:00,781.87,782.28,782.28,781.26,222356
19,2024-02-27 22:50:00,781.65,780.32,781.92,780.04,271078
20,2024-02-27 22:51:00,781.47,780.24,781.52,780.24,201243
21,2024-02-27 22:52:00,780.63,780.43,780.63,779.28,218486
22,2024-02-27 22:53:00,780.41,779.4,780.41,779.04,191495
23,2024-02-27 22:54:00,779.64,782.99,782.99,779.22,290808
24,2024-02-27 22:55:00,782.57,781.27,782.66,781.27,160871
25,2024-02-27 22:56:00,781.55,780.26,781.55,780.26,131929
26,2024-02-27 22:57:00,780.29,781.86,782.21,780.29,147654
27,2024-02-27 22:58:00,783.53,783.66,784.48,783.53,324204
28,2024-02-27 22:59:00,783.5,783.49,783.77,782.88,150513
29,2024-02-27 23:00:00,783.84,783.08,783.84,783.08,129869
30,2024-02-27 23:01:00,784.49,785.69,786.02,784.49,315717
31,2024-02-27 23:02:00,785.18,786.12,786.59,785.18,186065
32,2024-02-27 23:03:00,785.72,784.96,785.72,784.49,146917
33,2024-02-27 23:04:00,785.1,784.31,785.1,783.72,129639
34,2024-02-27 23:05:00,784.22,785.52,785.52,783.74,132025
35,2024-02-27 23:06:00,784.67,782.9,785.03,782.47,162109
36,2024-02-27 23:07:00,782.79,783.38,783.66,782.68,125906
37,2024-02-27 23:08:00,783.42,783.54,785.13,783.42,135532
38,2024-02-27 23:09:00,783.83,784.2,784.45,783.29,100913
39,2024-02-27 23:10:00,784.79,784.86,785.61,784.79,150760
40,2024-02-27 23:11:00,785.13,784.74,785.74,784.6,132672
41,2024-02-27 23:12:00,785.18,786.28,786.36,785.18,180116
42,2024-02-27 23:13:00,786.72,786.88,787.41,786.26,205114
43,2024-02-27 23:14:00,786.9,786.18,787.71,786.18,171915
44,2024-02-27 23:15:00,786.41,787.69,787.69,786.41,132359
45,2024-02-27 23:16:00,786.96,786.99,787.09,786.07,124917
46,2024-02-27 23:17:00,785.84,787.16,787.16,785.84,117345
47,2024-02-27 23:18:00,786.43,787.33,787.33,786.43,101955
48,2024-02-27 23:19:00,788.13,789.44,789.44,788.13,243505
49,2024-02-27 23:20:00,789.42,789.87,789.87,789.35,133540
50,2024-02-27 23:21:00,790.37,789.84,790.37,789.36,199951
51,2024-02-27 23:22:00,789.7,789.2,789.71,788.64,175841
52,2024-02-27 23:23:00,789.4,788.49,789.4,788.49,99094
53,2024-02-27 23:24:00,788.26,788.3,788.49,788.26,87248
54,2024-02-27 23:25:00,788.3,787.71,788.68,787.71,116241
55,2024-02-27 23:26:00,786.96,787.54,787.54,786.48,161870
56,2024-02-27 23:27:00,787.49,787.8,788.21,787.41,115106
57,2024-02-27 23:28:00,787.63,786.51,787.72,786.51,93318
58,2024-02-27 23:29:00,785.51,786.11,786.11,785.32,175108
59,2024-02-27 23:30:00,786.26,786.2,787.08,786.2,86039
60,2024-02-27 23:31:00,786.71,785.64,786.71,785.46,80571
61,2024-02-27 23:32:00,786.02,785.7,786.1,785.7,67284
62,2024-02-27 23:33:00,786.02,785.93,786.13,785.77,60786
63,2024-02-27 23:34:00,786.17,786.6,786.6,785.63,54283
64,2024-02-27 23:35:00,786.48,785.24,786.48,784.96,112743
65,2024-02-27 23:36:00,785.38,785.08,785.38,784.43,103410
66,2024-02-27 23:37:00,785.33,786.77,786.94,785.33,146397
67,2024-02-27 23:38:00,786.67,785.93,786.67,785.66,77502
68,2024-02-27 23:39:00,785.97,785.36,785.97,785.12,61101
69,2024-02-27 23:40:00,785.85,785.63,785.96,785.27,70043
70,2024-02-27 23:41:00,785.17,785.3,785.55,785.05,60890
71,2024-02-27 23:42:00,785.25,786.45,786.45,785.16,142852
72,2024-02-27 23:43:00,786.31,785.36,786.31,784.99,76533
73,2024-02-27 23:44:00,785.25,786.07,786.31,785.25,73019
74,2024-02-27 23:45:00,786.16,785.43,786.16,785.43,47026
75,2024-02-27 23:46:00,784.91,785.18,785.72,784.79,88495
76,2024-02-27 23:47:00,785.77,786.7,787.12,785.72,140679
77,2024-02-27 23:48:00,787.08,786.87,787.08,786.64,63465
78,2024-02-27 23:49:00,786.96,787.56,787.56,786.96,109379
79,2024-02-27 23:50:00,787.97,787.86,787.97,787.22,107274
80,2024-02-27 23:51:00,787.59,787.72,788.07,787.59,80331
81,2024-02-27 23:52:00,787.75,787.99,788.24,787.75,72554
82,2024-02-27 23:53:00,788.17,787.8,788.34,787.8,89534
83,2024-02-27 23:54:00,787.49,788.8,788.8,787.49,86858
84,2024-02-27 23:55:00,788.21,786.91,788.27,786.91,111498
85,2024-02-27 23:56:00,786.87,787.6,787.6,786.71,70188
86,2024-02-27 23:57:00,787.84,788.48,788.48,787.38,72616
87,2024-02-27 23:58:00,788.17,789.0,789.0,788.17,92104
88,2024-02-27 23:59:00,789.31,789.21,789.38,789.21,117692
89,2024-02-28 00:00:00,789.1,789.13,789.66,788.91,116632
90,2024-02-28 00:01:00,789.34,788.9,789.34,788.55,62104
91,2024-02-28 00:02:00,789.26,788.87,789.26,788.87,47446
92,2024-02-28 00:03:00,788.81,787.81,788.81,787.81,77622
93,2024-02-28 00:04:00,788.04,788.18,788.6,788.04,60812
94,2024-02-28 00:05:00,788.1,787.77,788.1,787.71,40968
95,2024-02-28 00:06:00,787.76,786.95,787.76,786.95,74012
96,2024-02-28 00:07:00,786.98,787.51,787.51,786.77,62958
97,2024-02-28 00:08:00,787.39,787.22,787.39,786.96,51266
98,2024-02-28 00:09:00,787.13,787.14,787.14,786.95,37832
99,2024-02-28 00:10:00,787.45,786.46,787.84,786.31,89548
100,2024-02-28 00:11:00,786.3,786.7,786.7,786.3,60440
101,2024-02-28 00:12:00,786.63,786.94,786.94,786.58,44880
102,2024-02-28 00:13:00,786.6,786.47,787.1,786.47,60688
103,2024-02-28 00:14:00,786.04,786.62,786.62,786.02,50034
104,2024-02-28 00:15:00,786.37,787.05,787.05,786.33,56772
105,2024-02-28 00:16:00,786.8,786.63,787.07,786.63,51920
106,2024-02-28 00:17:00,786.62,785.52,786.62,785.52,61476
107,2024-02-28 00:18:00,785.85,786.15,786.15,785.57,54554
108,2024-02-28 00:19:00,786.51,787.19,787.19,786.35,62820
109,2024-02-28 00:20:00,787.27,786.66,787.27,786.56,47732
110,2024-02-28 00:21:00,786.08,785.84,786.53,785.84,59844
111,2024-02-28 00:22:00,786.29,786.89,787.05,786.29,59218
112,2024-02-28 00:23:00,787.15,786.13,787.15,786.13,35242
113,2024-02-28 00:24:00,786.69,787.04,787.04,786.48,42880
114,2024-02-28 00:25:00,787.19,787.82,787.82,787.19,74768
115,2024-02-28 00:26:00,787.59,787.29,787.85,787.29,54254
116,2024-02-28 00:27:00,786.88,786.78,786.96,786.72,55022
117,2024-02-28 00:28:00,787.0,787.42,787.51,786.82,32676
118,2024-02-28 00:29:00,787.31,786.49,787.31,786.37,33484
119,2024-02-28 00:30:00,786.46,786.04,786.62,786.01,51184
120,2024-02-28 00:31:00,786.02,786.84,786.84,786.02,64492
121,2024-02-28 00:32:00,786.83,786.81,786.91,786.79,46854
122,2024-02-28 00:33:00,787.23,787.24,787.45,787.23,56494
123,2024-02-28 00:34:00,787.13,787.46,787.46,787.07,43800
124,2024-02-28 00:35:00,787.71,787.46,787.83,787.15,55168
125,2024-02-28 00:36:00,787.24,787.0,787.36,787.0,33396
126,2024-02-28 00:37:00,787.06,786.87,787.06,786.65,49420
127,2024-02-28 00:38:00,786.61,786.04,786.61,785.96,55406
128,2024-02-28 00:39:00,786.29,786.07,786.29,785.7,61910
129,2024-02-28 00:40:00,785.89,786.02,786.2,785.89,45380
130,2024-02-28 00:41:00,786.16,786.19,786.35,786.14,33724
131,2024-02-28 00:42:00,786.14,786.37,786.63,786.14,32610
132,2024-02-28 00:43:00,786.23,786.0,786.55,786.0,30050
133,2024-02-28 00:44:00,785.89,786.39,786.39,785.52,51328
134,2024-02-28 00:45:00,786.15,786.57,786.59,786.15,44676
135,2024-02-28 00:46:00,786.57,786.97,787.31,786.52,85924
136,2024-02-28 00:47:00,787.36,788.25,788.25,787.36,91572
137,2024-02-28 00:48:00,788.2,788.46,788.46,787.79,99864
138,2024-02-28 00:49:00,788.19,788.35,788.67,788.19,74080
139,2024-02-28 00:50:00,788.49,788.16,788.63,788.0,60860
140,2024-02-28 00:51:00,788.21,788.63,788.88,788.21,69810
141,2024-02-28 00:52:00,789.36,790.22,790.41,789.36,220180
142,2024-02-28 00:53:00,790.65,790.18,790.7,790.18,129570
143,2024-02-28 00:54:00,790.81,789.96,790.99,789.96,149420
144,2024-02-28 00:55:00,790.52,790.17,790.52,789.98,89114
145,2024-02-28 00:56:00,790.66,790.64,790.76,790.38,79958
146,2024-02-28 00:57:00,790.82,791.27,791.39,790.82,116214
147,2024-02-28 00:58:00,791.62,791.78,791.88,791.62,133258
148,2024-02-28 00:59:00,791.78,790.72,791.78,790.72,98248
149,2024-02-28 01:00:00,790.86,790.96,791.11,790.6,72616
150,2024-02-28 01:01:00,790.85,790.47,790.95,790.11,102378
151,2024-02-28 01:02:00,790.81,791.16,791.16,790.66,52018
152,2024-02-28 01:03:00,791.43,791.11,791.43,790.9,66108
153,2024-02-28 01:04:00,791.08,790.66,791.09,790.66,62524
154,2024-02-28 01:05:00,790.75,790.92,791.46,790.75,74432
155,2024-02-28 01:06:00,791.08,790.98,791.16,790.76,48808
156,2024-02-28 01:07:00,790.85,791.62,791.95,790.85,115168
157,2024-02-28 01:08:00,791.39,792.76,792.76,791.39,114632
158,2024-02-28 01:09:00,792.31,792.55,792.55,791.79,85868
159,2024-02-28 01:10:00,792.31,791.56,792.31,791.53,76032
