TSLA 特斯拉 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/04/12	2131	172.340	174.200	171.730	172.300	2103520	363084320.00
2024/04/12	2132	172.700	172.700	171.944	172.550	579248	99827104.00
2024/04/12	2133	172.800	172.800	172.075	172.290	642039	110699776.00
2024/04/12	2134	172.668	172.668	172.138	172.347	356500	61439296.00
2024/04/12	2135	172.450	172.580	172.225	172.530	282728	48765120.00
2024/04/12	2136	172.715	172.715	172.412	172.412	479136	82694848.00
2024/04/12	2137	172.270	172.750	172.270	172.520	322630	55680768.00
2024/04/12	2138	172.660	172.745	172.355	172.355	263572	45485888.00
2024/04/12	2139	172.046	173.400	172.046	173.400	678041	117245696.00
2024/04/12	2140	173.310	173.310	172.680	172.680	529006	91584192.00
2024/04/12	2141	172.520	172.715	172.460	172.460	392557	67736832.00
2024/04/12	2142	172.426	172.970	172.310	172.616	416497	71910144.00
2024/04/12	2143	172.630	172.765	172.410	172.410	189630	32727040.00
2024/04/12	2144	172.400	172.825	172.400	172.440	405429	69982976.00
2024/04/12	2145	172.575	172.750	172.400	172.620	236522	40806144.00
2024/04/12	2146	172.466	172.650	172.466	172.650	127975	22077184.00
2024/04/12	2147	172.885	173.020	172.635	172.780	355760	61494784.00
2024/04/12	2148	172.610	172.680	172.520	172.540	274932	47437056.00
2024/04/12	2149	172.540	172.540	172.290	172.290	293430	50579968.00
2024/04/12	2150	172.320	172.320	171.940	172.040	412446	70941440.00
2024/04/12	2151	171.910	172.360	171.882	172.248	361092	62107136.00
2024/04/12	2152	172.286	172.370	172.230	172.370	373069	64278528.00
2024/04/12	2153	172.320	172.831	172.190	172.831	550245	94898176.00
2024/04/12	2154	172.566	172.707	172.566	172.570	281256	48564992.00
2024/04/12	2155	172.540	172.600	172.540	172.545	139494	24065664.00
2024/04/12	2156	172.447	172.510	172.290	172.290	196616	33896448.00
2024/04/12	2157	172.266	172.430	172.266	172.310	189756	32699904.00
2024/04/12	2158	172.380	172.470	172.380	172.467	143846	24798720.00
2024/04/12	2159	172.610	172.610	172.450	172.510	199977	34489472.00
2024/04/12	2200	172.520	172.720	172.520	172.655	240682	41560960.00
2024/04/12	2201	172.567	172.830	172.420	172.830	392804	67785088.00
2024/04/12	2202	172.710	172.710	172.510	172.560	188489	32543872.00
2024/04/12	2203	172.490	172.490	172.190	172.190	244829	42199808.00
2024/04/12	2204	172.160	172.170	172.040	172.170	279727	48160768.00
2024/04/12	2205	172.250	172.730	172.250	172.600	280136	48348672.00
2024/04/12	2206	172.430	172.720	172.430	172.610	142559	24629504.00
2024/04/12	2207	172.750	172.890	172.750	172.870	338830	58630656.00
2024/04/12	2208	172.860	173.019	172.810	173.019	219656	38014208.00
2024/04/12	2209	172.960	172.960	172.805	172.825	174322	30188800.00
2024/04/12	2210	172.850	173.405	172.850	173.340	460205	79789312.00
2024/04/12	2211	173.460	173.730	173.410	173.484	467162	81139968.00
2024/04/12	2212	173.230	173.296	173.083	173.110	257453	44641024.00
2024/04/12	2213	173.135	173.135	172.966	172.970	240782	41691904.00
2024/04/12	2214	172.935	172.975	172.823	172.880	213129	36886528.00
2024/04/12	2215	172.850	172.970	172.720	172.878	246083	42565120.00
2024/04/12	2216	172.690	172.690	172.559	172.560	256034	44200192.00
2024/04/12	2217	172.370	172.370	172.245	172.245	349522	60249344.00
2024/04/12	2218	172.285	172.342	172.220	172.342	247667	42674432.00
2024/04/12	2219	172.142	172.440	172.142	172.400	311322	53645824.00
2024/04/12	2220	172.450	172.719	172.450	172.545	287552	49607936.00
2024/04/12	2221	172.390	172.721	172.390	172.712	223814	38613504.00
2024/04/12	2222	172.630	172.760	172.630	172.645	159674	27570432.00
2024/04/12	2223	172.676	172.710	172.595	172.595	131192	22653184.00
2024/04/12	2224	172.540	172.665	172.531	172.531	121506	20973568.00
