NVDA 英伟达 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/04/12	2131	896.990	908.550	895.250	896.500	1742936	1567245696.00
2024/04/12	2132	896.860	897.525	896.010	897.525	212603	190643200.00
2024/04/12	2133	899.030	900.325	897.300	899.760	375503	337645568.00
2024/04/12	2134	899.305	900.920	898.985	900.140	251127	226075776.00
2024/04/12	2135	898.890	898.995	896.020	896.165	268135	240864768.00
2024/04/12	2136	896.110	896.970	895.830	896.023	220903	198001152.00
2024/04/12	2137	894.950	896.240	893.360	893.360	302917	270991616.00
2024/04/12	2138	893.300	893.300	891.150	891.150	348009	310475520.00
2024/04/12	2139	891.050	891.050	888.685	888.685	406125	361390592.00
2024/04/12	2140	889.260	890.585	889.260	890.585	273470	243301376.00
2024/04/12	2141	889.710	891.070	889.703	890.730	199919	177922048.00
2024/04/12	2142	891.190	892.000	890.860	891.650	205633	183193088.00
2024/04/12	2143	891.070	891.070	889.960	890.028	174802	155720704.00
2024/04/12	2144	890.475	892.120	890.475	892.120	156864	139847168.00
2024/04/12	2145	891.460	893.680	891.460	893.680	230541	205890048.00
2024/04/12	2146	895.055	895.260	894.130	894.671	233270	208696832.00
2024/04/12	2147	894.520	896.060	894.425	896.060	255951	229133312.00
2024/04/12	2148	896.475	896.505	895.110	895.110	199675	179010560.00
2024/04/12	2149	895.360	895.510	894.420	894.420	135797	121541632.00
2024/04/12	2150	894.151	894.280	892.558	892.558	148590	132849664.00
2024/04/12	2151	892.103	893.387	892.103	892.979	159145	142095872.00
2024/04/12	2152	892.910	893.450	892.910	893.450	93556	83564032.00
2024/04/12	2153	894.386	894.649	893.660	894.649	139014	124324352.00
2024/04/12	2154	894.505	895.552	894.505	895.552	128345	114871296.00
2024/04/12	2155	895.246	895.857	894.814	895.422	101497	90862080.00
2024/04/12	2156	895.529	895.618	894.597	895.220	161091	144260608.00
2024/04/12	2157	894.300	894.735	893.855	894.000	94778	84780032.00
2024/04/12	2158	893.640	894.669	893.510	893.510	106028	94814208.00
2024/04/12	2159	894.240	894.730	893.770	894.490	57218	51180032.00
2024/04/12	2200	894.165	894.165	893.220	893.916	130011	116212224.00
2024/04/12	2201	893.500	895.656	892.795	895.594	206849	184958464.00
2024/04/12	2202	896.330	897.718	896.050	896.050	239195	214667264.00
2024/04/12	2203	895.476	895.476	893.240	893.495	145443	130140160.00
2024/04/12	2204	893.900	894.032	892.500	892.500	109069	97436160.00
2024/04/12	2205	892.420	893.471	892.420	893.028	103175	92163584.00
2024/04/12	2206	893.170	894.000	893.170	893.304	107910	96468992.00
2024/04/12	2207	893.800	893.800	891.566	891.566	113440	101305856.00
2024/04/12	2208	890.740	891.210	890.670	890.920	179259	159729664.00
2024/04/12	2209	891.500	891.500	891.145	891.175	114127	101791744.00
2024/04/12	2210	890.780	891.500	890.780	891.480	134254	119654400.00
2024/04/12	2211	892.220	893.050	892.220	892.475	92886	82905088.00
2024/04/12	2212	892.170	892.170	891.535	891.670	51556	46005248.00
2024/04/12	2213	891.820	892.050	890.734	892.050	105312	93886976.00
2024/04/12	2214	892.460	892.540	892.325	892.540	96954	86518272.00
2024/04/12	2215	892.670	893.240	892.320	893.240	51090	45613568.00
2024/04/12	2216	893.350	893.350	891.940	891.940	82321	73496576.00
2024/04/12	2217	891.038	892.328	891.038	892.328	97533	86957568.00
2024/04/12	2218	891.865	892.974	891.865	892.700	85784	76576256.00
2024/04/12	2219	892.343	894.571	892.343	894.571	116054	103724032.00
2024/04/12	2220	894.110	894.680	894.110	894.320	104363	93358080.00
2024/04/12	2221	894.590	894.637	894.213	894.213	60160	53847040.00
2024/04/12	2222	894.327	894.390	893.870	893.870	69080	61788160.00
2024/04/12	2223	894.360	894.893	894.279	894.893	102324	91526144.00
2024/04/12	2224	894.665	895.710	894.665	895.380	131966	118163456.00
2024/04/12	2225	895.335	895.335	894.700	894.700	81174	72656896.00
2024/04/12	2226	894.910	894.920	894.300	894.300	74783	66931712.00
2024/04/12	2227	893.740	893.740	893.010	893.210	108966	97533952.00
2024/04/12	2228	893.320	893.320	892.560	892.560	56370	50484224.00
2024/04/12	2229	892.760	892.850	892.120	892.120	78023	69757952.00
2024/04/12	2230	892.053	892.560	892.053	892.164	77759	69526528.00
2024/04/12	2231	891.820	892.847	891.545	892.847	74812	66899968.00
2024/04/12	2232	892.771	893.230	892.560	892.880	62208	55727104.00
2024/04/12	2233	892.950	893.268	892.700	893.268	49297	44188672.00
2024/04/12	2234	893.030	893.670	893.030	893.140	55382	49641472.00
2024/04/12	2235	893.055	893.055	891.820	891.820	134443	120202240.00
2024/04/12	2236	891.983	892.555	891.983	892.548	75932	67981312.00
2024/04/12	2237	892.150	892.150	891.049	891.049	103236	92249088.00
2024/04/12	2238	890.350	890.350	889.100	889.353	269795	240335872.00
2024/04/12	2239	889.660	889.660	887.940	887.940	193273	172092416.00
2024/04/12	2240	887.675	887.675	887.205	887.251	179869	159926272.00
2024/04/12	2241	887.591	887.830	886.410	886.410	149944	133284864.00
2024/04/12	2242	886.420	886.960	886.247	886.641	138782	123305984.00
2024/04/12	2243	886.485	887.479	886.485	887.169	149226	132636672.00
2024/04/12	2244	886.500	887.700	886.459	887.250	130340	115848192.00
2024/04/12	2245	887.120	887.480	886.815	886.815	84744	75419648.00
2024/04/12	2246	886.982	887.290	886.830	887.280	75428	67112960.00
2024/04/12	2247	887.310	887.760	887.310	887.760	68407	60964864.00
2024/04/12	2248	887.470	887.660	887.068	887.068	70818	63100928.00
2024/04/12	2249	887.360	887.360	886.576	887.071	88498	78714880.00
2024/04/12	2250	887.145	887.880	887.145	887.550	80664	71758848.00
2024/04/12	2251	887.074	887.365	887.053	887.275	67276	59849728.00
2024/04/12	2252	887.559	887.559	886.200	886.200	158314	140596224.00
2024/04/12	2253	885.437	885.437	883.364	883.364	311373	275660800.00
2024/04/12	2254	883.798	884.294	883.686	883.686	175620	155307008.00
2024/04/12	2255	883.510	885.020	883.510	885.020	122277	108223488.00
2024/04/12	2256	884.976	885.370	884.850	885.370	101763	90127360.00
2024/04/12	2257	885.375	886.270	884.870	886.270	97936	86854656.00
2024/04/12	2258	885.843	886.000	885.647	885.647	101955	90526720.00
2024/04/12	2259	885.740	885.740	884.895	884.895	70477	62495744.00
2024/04/12	2300	884.590	884.590	882.990	883.370	159017	140603392.00
2024/04/12	2301	883.660	884.630	883.600	883.600	99468	88016896.00
2024/04/12	2302	883.577	884.649	883.577	884.573	141727	125470720.00
2024/04/12	2303	884.220	885.450	884.220	885.450	78119	69272576.00
2024/04/12	2304	885.660	885.680	885.277	885.600	84995	75479040.00
2024/04/12	2305	885.720	885.930	885.720	885.882	84095	74759168.00
2024/04/12	2306	885.730	885.730	884.915	885.490	88828	78881792.00
2024/04/12	2307	885.678	886.235	885.678	885.890	87392	77667328.00
2024/04/12	2308	885.845	886.260	885.525	885.525	76637	68140032.00
2024/04/12	2309	885.985	886.950	885.985	886.860	82882	73816064.00
2024/04/12	2310	886.766	887.008	886.730	886.910	63379	56450048.00
2024/04/12	2311	886.420	886.420	885.640	886.345	90233	80178176.00
2024/04/12	2312	886.770	887.018	886.720	887.000	80546	71622656.00
2024/04/12	2313	886.810	887.499	886.810	887.170	69041	61336576.00
2024/04/12	2314	887.115	887.115	886.715	886.715	49935	44473344.00
2024/04/12	2315	886.755	886.795	886.540	886.715	56783	50554880.00
2024/04/12	2316	887.234	887.530	887.001	887.340	84007	74719232.00
2024/04/12	2317	887.110	887.580	887.110	887.540	51393	45735936.00
2024/04/12	2318	887.585	888.311	887.220	887.903	130806	116334592.00
2024/04/12	2319	888.230	888.750	888.230	888.750	100949	89880576.00
2024/04/12	2320	888.530	889.720	888.530	889.720	139402	124131328.00
2024/04/12	2321	889.745	890.529	889.745	890.529	159093	141771776.00
2024/04/12	2322	890.547	890.750	890.400	890.430	130390	116286464.00
2024/04/12	2323	890.580	890.580	890.260	890.260	69006	61643776.00
2024/04/12	2324	889.870	889.970	889.772	889.772	101415	90447872.00
2024/04/12	2325	889.840	889.852	889.585	889.585	69764	62249984.00
2024/04/12	2326	889.610	890.570	889.610	890.451	81543	72750080.00
2024/04/12	2327	890.370	891.062	890.370	890.935	125554	112029696.00
2024/04/12	2328	890.780	890.990	890.393	890.990	61404	54809600.00
2024/04/12	2329	890.860	891.500	890.860	891.500	113960	101714944.00
2024/04/12	2330	891.610	892.526	891.610	892.526	127480	113889280.00
2024/04/12	2331	892.516	893.540	892.516	893.540	129726	116071424.00
2024/04/12	2332	894.190	894.190	893.800	894.070	227168	203219968.00
2024/04/12	2333	894.165	894.430	893.830	894.430	114974	102948864.00
2024/04/12	2334	894.260	894.400	893.453	893.594	109474	97926144.00
2024/04/12	2335	893.805	894.738	893.600	894.738	96408	86220800.00
2024/04/12	2336	894.790	895.240	894.230	895.240	214880	192237568.00
2024/04/12	2337	895.015	895.015	894.440	894.665	83930	75107328.00
2024/04/12	2338	894.290	894.690	894.150	894.200	79824	71415808.00
2024/04/12	2339	894.711	894.711	894.160	894.160	69428	62118912.00
2024/04/12	2340	894.170	894.800	894.170	894.399	128522	114994176.00
2024/04/12	2341	895.075	895.226	895.075	895.113	115606	103447552.00
2024/04/12	2342	894.730	894.730	893.910	893.910	74820	66921472.00
2024/04/12	2343	894.046	894.165	893.670	893.670	78076	69793792.00
2024/04/12	2344	893.536	893.536	893.150	893.314	87868	78509056.00
2024/04/12	2345	893.571	894.144	893.571	893.603	75696	67655680.00
2024/04/12	2346	893.362	893.500	892.895	892.895	76378	68235264.00
2024/04/12	2347	893.173	894.090	893.173	893.988	70302	62841856.00
2024/04/12	2348	893.671	894.863	893.671	894.863	91636	81977344.00
2024/04/12	2349	894.870	894.963	894.620	894.885	96212	86147072.00
