,dt,open,close,high,low,vol
0,2023-12-14 22:31:00,371.81,370.586,374.37,370.48,1496622
1,2023-12-14 22:32:00,371.14,371.45,371.51,371.14,198383
2,2023-12-14 22:33:00,371.165,371.075,371.3,371.075,187059
3,2023-12-14 22:34:00,371.21,371.22,371.67,371.21,140272
4,2023-12-14 22:35:00,370.852,370.52,370.94,370.52,188781
5,2023-12-14 22:36:00,370.54,369.95,370.54,369.95,197043
6,2023-12-14 22:37:00,369.984,369.29,369.984,369.29,218442
7,2023-12-14 22:38:00,369.21,368.85,369.21,368.85,289837
8,2023-12-14 22:39:00,369.04,370.144,370.144,369.04,217532
9,2023-12-14 22:40:00,369.6,369.2,369.6,368.92,252502
10,2023-12-14 22:41:00,369.08,369.5,369.55,369.08,175481
11,2023-12-14 22:42:00,369.63,369.42,369.63,369.4,152316
12,2023-12-14 22:43:00,369.43,369.47,369.595,369.43,145448
13,2023-12-14 22:44:00,369.5,369.365,369.565,369.365,129127
14,2023-12-14 22:45:00,369.24,368.56,369.24,368.56,205978
15,2023-12-14 22:46:00,368.54,368.38,368.84,368.38,249313
16,2023-12-14 22:47:00,368.91,368.57,368.91,368.54,122775
17,2023-12-14 22:48:00,368.58,368.63,368.67,368.58,84018
18,2023-12-14 22:49:00,368.575,369.059,369.09,368.575,157549
19,2023-12-14 22:50:00,368.855,368.95,368.95,368.58,122678
20,2023-12-14 22:51:00,368.995,368.74,368.995,368.485,269697
21,2023-12-14 22:52:00,368.65,368.61,368.77,368.61,180648
22,2023-12-14 22:53:00,368.422,368.615,368.875,368.422,239684
23,2023-12-14 22:54:00,368.75,368.72,368.84,368.62,140321
24,2023-12-14 22:55:00,368.73,368.805,368.82,368.73,102301
25,2023-12-14 22:56:00,368.93,369.515,369.515,368.88,147718
26,2023-12-14 22:57:00,369.65,369.81,369.81,369.56,109806
27,2023-12-14 22:58:00,369.799,369.723,369.935,369.723,115635
28,2023-12-14 22:59:00,369.631,368.966,369.631,368.966,110681
29,2023-12-14 23:00:00,368.96,368.77,368.96,368.71,104803
30,2023-12-14 23:01:00,368.658,368.37,368.658,368.37,186427
31,2023-12-14 23:02:00,368.355,367.725,368.355,367.725,227370
32,2023-12-14 23:03:00,367.73,368.05,368.07,367.71,145786
33,2023-12-14 23:04:00,367.839,367.81,367.84,367.681,95899
34,2023-12-14 23:05:00,368.02,368.0,368.02,367.681,97300
35,2023-12-14 23:06:00,367.77,367.72,367.81,367.72,93465
36,2023-12-14 23:07:00,367.665,367.81,367.81,367.665,111866
37,2023-12-14 23:08:00,367.709,367.59,367.709,367.55,158088
38,2023-12-14 23:09:00,367.545,367.44,367.545,367.4,157290
39,2023-12-14 23:10:00,367.44,367.86,367.93,367.44,107689
40,2023-12-14 23:11:00,367.8,367.96,368.008,367.71,91950
41,2023-12-14 23:12:00,368.31,368.03,368.415,368.03,110935
42,2023-12-14 23:13:00,368.25,368.21,368.34,368.14,103530
43,2023-12-14 23:14:00,368.25,368.37,368.38,368.115,61470
44,2023-12-14 23:15:00,368.15,367.88,368.16,367.88,91376
45,2023-12-14 23:16:00,367.91,367.71,367.93,367.71,69441
46,2023-12-14 23:17:00,367.608,367.44,367.608,367.41,101895
47,2023-12-14 23:18:00,367.691,367.57,367.95,367.57,114041
48,2023-12-14 23:19:00,367.56,367.48,367.565,367.455,107538
49,2023-12-14 23:20:00,367.5,368.1,368.1,367.5,106831
50,2023-12-14 23:21:00,368.135,367.835,368.135,367.81,80139
51,2023-12-14 23:22:00,367.67,367.9,367.9,367.47,103827
52,2023-12-14 23:23:00,367.93,367.83,367.93,367.77,70283
53,2023-12-14 23:24:00,367.87,367.81,367.87,367.73,68270
54,2023-12-14 23:25:00,367.77,367.49,367.77,367.49,78845
55,2023-12-14 23:26:00,367.48,367.56,367.56,367.38,112398
56,2023-12-14 23:27:00,367.52,368.066,368.066,367.52,127014
57,2023-12-14 23:28:00,367.91,367.41,367.91,367.41,220893
58,2023-12-14 23:29:00,367.326,366.9,367.326,366.9,158231
59,2023-12-14 23:30:00,366.81,366.812,366.82,366.78,77128
60,2023-12-14 23:31:00,366.819,366.935,367.105,366.819,123109
61,2023-12-14 23:32:00,366.92,366.77,367.0,366.77,95671
62,2023-12-14 23:33:00,366.81,366.575,366.81,366.575,79983
63,2023-12-14 23:34:00,366.635,367.08,367.08,366.635,98674
64,2023-12-14 23:35:00,367.15,367.077,367.15,366.96,72406
65,2023-12-14 23:36:00,367.101,366.87,367.39,366.87,74892
