,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score,ts_diff
0,2024/1/2 22:44,48.335,48.325,48.335,48.305,341499,1704206640,,,,,,,,,,,-10.88096306,70.84883099,18.29011892,48.341,0.016,0.000331092,TRUE,,,,-50.96521412,-0.024374715,-0.029163428,,-10403615,-10048328.82,-7635746.512,0.50629956,
28,2024/1/2 23:14,48.328,48.341,48.341,48.32,153152,1704208440,,,,,,,,,,,11.29264059,22.34318903,12.33966588,47.785,-0.556,-0.011501624,FALSE,,,,32.92775196,-0.004770665,-0.003305894,0.089142857,-10214918,-10250886.21,-9501000.746,0.50114435,1800
33,2024/1/3 0:16,48.156,48.191,48.209,48.156,168648,1704212160,,,,,,,,,,,103.8947175,-11.13632118,0.158185724,48.41,0.219,0.004544417,TRUE,53.8482837,28.64798706,104.248877,77.10135447,0.012094812,0.012583184,0.066428571,-10575466,-10854783.68,-11593790.22,0.5146905,3720
52,2024/1/3 2:47,48.01,48.069,48.069,48.005,56540,1704221220,,,,,,,,,,,103.6582088,32.84128916,-11.23646035,47.628,-0.441,-0.009174312,FALSE,61.98352631,41.14616568,103.6582476,32.99403559,0.000878334,0.000699354,0.042785714,-12401730,-12329716.84,-12047562.27,0.5104311,9060
73,2024/1/3 3:17,47.635,47.628,47.645,47.625,93060,1704223020,,,,,,,,,,,7.59074954,18.98008104,-14.4548187,47.66,0.032,0.000671874,TRUE,23.63852915,31.66241615,7.590755149,40.51094403,-0.006563923,-0.00513569,0.050857143,-14150862,-14219996.49,-13498016.11,0.52597123,1800
103,2024/1/3 3:47,47.635,47.66,47.66,47.635,96292,1704224820,,,,,,,,,,,55.76723454,16.06437537,-16.368569,47.13,-0.53,-0.011120436,FALSE,41.33716777,34.12213399,55.76723533,44.28088991,-0.00235734,-0.001839812,0.035285714,-14694470,-14681695.54,-14056952.13,0.51813036,1800
123,2024/1/3 4:17,47.13,47.13,47.155,47.115,129136,1704226620,,,,,,,,,,,-5.156466173,2.09365512,-19.09139381,47.32,0.19,0.004031403,TRUE,12.38337682,21.15329826,-5.156466061,6.58584226,-0.012442844,-0.011181234,0.056857143,-17754498,-17621185.6,-15879633.95,0.5299726,1800
151,2024/1/3 4:47,47.331,47.32,47.331,47.305,202856,1704228420,,,,,,,,,,,74.4767284,4.038558003,-20.70157426,,,,FALSE,42.88687906,27.09195439,74.47672841,76.29085695,0.001055801,0.00256355,0.044,-11947650,-11984433.11,-13324758.22,0.5159725,1800
160,2024/1/3 22:45,47.205,47.155,47.21,47.155,336170,1704293100,,,,,,,,,,,23.96161411,19.03398066,12.39782768,46.62,-0.535,-0.011345563,FALSE,,,,72.73072252,0.003524219,0.005869837,0.106285714,-6294183,-6194139.854,-6053352.023,0.500803,64680
179,2024/1/3 23:20,46.64,46.626,46.651,46.619,210520,1704295200,,,,,,,,,,,-5.518616672,14.03825287,11.01213228,46.554,-0.072,-0.001544203,FALSE,2.398135727,1.091225624,5.011955934,-13.09398414,-0.017339187,-0.017298187,0.078714286,-9632406,-9436454.569,-7378949.818,0.5001725,2100
