,dt,open,close,high,low,vol,ts,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score
2743,2024-01-11 22:44:00,50.317,50.27,50.335,50.27,484303,1704984240,49.095,-1.1750000000000043,-0.02337378157947094,False,,,,-6.281241017829018,0.0014129584393971113,-0.0028689000284971545,,-9895882,-9278434.961367304,-8697514.354005266,0.51836985
4344,2024-01-18 23:25:00,50.55,50.605,50.615,50.55,134442,1705591500,51.065,0.46000000000000085,0.009090010868491273,True,64.87401579989539,74.7547784019553,45.11249059577554,43.63600308893248,0.0008691694765987177,0.0015403228878813357,0.09142857142857252,-9688122,-9742886.457362674,-9358664.018561022,0.53821695
4345,2024-01-18 23:26:00,50.567,50.604,50.63,50.567,74140,1705591560,51.037,0.43299999999999983,0.008556635839064103,True,64.2408376856371,74.05384902086743,44.61481501517645,51.83652302775464,0.0012090969025419025,0.001888951754428272,0.08650000000000142,-9762262,-9749344.971575117,-9374491.39038216,0.53821695
4348,2024-01-18 23:29:00,50.66,50.674,50.687,50.66,141712,1705591740,50.861,0.1869999999999976,0.003690255357777117,True,66.48410625463343,72.51630620300381,54.419706357892665,70.07144740960229,0.0033461433355742812,0.004631666810068914,0.08507142857143027,-9877882,-9762941.843429666,-9414997.664300088,0.53821695
4349,2024-01-18 23:30:00,50.686,50.675,50.704,50.675,87064,1705591800,50.895,0.22000000000000597,0.004341391218549698,True,67.55907888113606,72.18582438154596,58.30558788031627,70.21381756015592,0.003835610709653715,0.004814545457812582,0.08364285714285861,-9790818,-9772233.895619778,-9429735.716680476,0.53821695
4716,2024-01-19 23:07:00,52.291,52.175,52.291,52.165,5434764,1705676820,52.315,0.14000000000000057,0.0026832774317201834,False,,,,39.032484509420414,0.005104342738355279,0.003027909467437828,0.10157142857142938,-11219050,-7595327.681629263,-6483270.748116867,0.55173904
4717,2024-01-19 23:08:00,52.185,52.055,52.185,52.055,444242,1705676880,52.335,0.28000000000000114,0.005378926135817906,True,,,,19.847012602549768,0.003102718196252003,-0.000900530887954552,0.10157142857142938,-11663292,-8951315.787752843,-6686408.836426009,0.55173904
4718,2024-01-19 23:09:00,52.025,51.965,52.025,51.92,494392,1705676940,52.32,0.3549999999999969,0.006831521216203153,True,,,,5.716790901393466,0.00042831079604574223,-0.00492050400436678,0.10621428571428636,-12157684,-10020105.191835228,-6900968.646762244,0.553003
4734,2024-01-19 23:25:00,52.075,52.175,52.175,52.066,132620,1705677900,52.398,0.22300000000000608,0.004274077623382963,True,39.77838416909206,30.129892248709393,59.07536800985739,36.900465092393176,0.0009963373772902055,-0.00031737168404897805,0.09742857142857073,-11801144,-11738071.214359585,-9280507.089320846,0.5739618
4736,2024-01-19 23:27:00,52.226,52.275,52.275,52.226,125596,1705678020,52.465,0.19000000000000483,0.0036346245815400257,True,42.892662273012206,31.664976450303822,65.34803391842897,46.703518518913015,0.0012990127294398093,0.002076078737788377,0.08921428571428537,-11442582,-11601820.761937594,-9451488.784874799,0.5203506
4737,2024-01-19 23:28:00,52.225,52.255,52.281,52.225,154654,1705678080,52.42,0.16499999999999915,0.0031575925748732014,True,44.28711970877967,32.50645266753555,67.84845379126791,57.750151486221526,0.001712281640612293,0.00253881946295726,0.08821428571428516,-11597236,-11600292.507958397,-9535635.734487552,0.5203506
4739,2024-01-19 23:30:00,52.3,52.344,52.344,52.285,103914,1705678200,52.435,0.09100000000000108,0.0017384991594070205,False,48.4075734859973,34.41213343402214,76.39845358994762,83.12527236646918,0.003137240802994717,0.004818890220213736,0.08385714285714282,-11289768,-11450870.892425954,-9674432.360824535,0.5203506
4743,2024-01-19 23:34:00,52.204,52.205,52.245,52.204,103036,1705678440,52.505,0.30000000000000426,0.005746575998467661,True,49.63944616465555,38.04022092012618,72.83789665371428,15.440043944327556,0.0017016204103066338,0.0005083108592938487,0.08150000000000089,-11974210,-11808510.32442982,-9992195.60710549,0.5739618
4748,2024-01-19 23:39:00,52.29,52.32,52.325,52.29,96464,1705678740,52.635,0.3149999999999977,0.0060206422018348185,True,55.54668205370982,42.2956943658752,82.04865742937908,66.12034272503217,0.002853657228700524,0.004141487765373493,0.06614285714285728,-11652846,-11729531.441900223,-10321091.596379505,0.5203506
4751,2024-01-19 23:42:00,52.415,52.405,52.415,52.345,146978,1705678920,52.76,0.3549999999999969,0.006774162770727924,True,61.0150547677316,45.42215863804992,92.20084702709494,84.14547750874726,0.004719332084801808,0.006231405163254935,0.07078571428571426,-10849888,-11234288.575377844,-10408694.325278006,0.52532876
4753,2024-01-19 23:44:00,52.407,52.41,52.445,52.407,121934,1705679040,52.685,0.2750000000000057,0.005247090249952408,True,64.76570696803873,47.7883598611805,98.72040118175518,86.45183242227755,0.00576061191602566,0.006795921048006832,0.07421428571428582,-10956480,-11107046.922390154,-10455409.691269701,0.5551777
4754,2024-01-19 23:45:00,52.377,52.435,52.435,52.375,145990,1705679100,52.67,0.23499999999999943,0.004481739296271563,True,66.98767570985204,49.06831425109194,102.82639862737223,91.42344842424778,0.0063080585688278235,0.0074029518744321504,0.07142857142857142,-10810490,-11008194.61492677,-10469334.409259126,0.5551777
4756,2024-01-19 23:47:00,52.425,52.365,52.425,52.355,153764,1705679220,52.745,0.37999999999999545,0.007256755466437419,True,69.88302078767215,51.68497027592125,106.27912181117397,71.51576882137584,0.006504609349193277,0.006229553360744555,0.07085714285714317,-11128670,-11040955.606634121,-10514239.540419515,0.5551777
4763,2024-01-19 23:54:00,52.355,52.385,52.395,52.355,101392,1705679640,52.645,0.2600000000000051,0.004963252839553405,True,75.53780493722681,60.25184939661113,106.10971601845817,44.75726669985568,0.003845455675446395,0.003129227433886528,0.06764285714285835,-11376758,-11341111.381641138,-10698719.547088312,0.5203506
4764,2024-01-19 23:55:00,52.394,52.398,52.401,52.385,80544,1705679700,52.717,0.3189999999999955,0.006088018626665054,True,76.34904607596826,61.324995841901604,106.39714654410157,58.11615169619972,0.003671778131799838,0.0033244230445067247,0.061642857142859143,-11296214,-11326145.58776076,-10722150.702104457,0.5203506
4767,2024-01-19 23:58:00,52.476,52.42,52.476,52.405,123452,1705679880,52.675,0.25499999999999545,0.004864555513162828,True,78.80330590591323,64.53558619555636,107.33874532662696,67.5965923674367,0.004827866349364317,0.005029330865262153,0.06457142857142983,-11121370,-11103046.618595783,-10750048.794836732,0.52532876
4768,2024-01-19 23:59:00,52.415,52.425,52.425,52.351,122996,1705679940,52.685,0.2600000000000051,0.00495946590367201,True,78.96641884551899,65.49764170555387,105.9039731254492,60.406798837063576,0.004745836521354591,0.0045817768653351396,0.06557142857142953,-10998374,-11068155.745730523,-10759787.038176468,0.52532876
4769,2024-01-20 00:00:00,52.425,52.435,52.435,52.405,102052,1705680000,52.695,0.259999999999998,0.00495852007247064,True,79.18083279330845,66.40985444473752,104.72278949045031,55.55389333703033,0.004621259089610908,0.004372104226123542,0.06407142857142947,-10896322,-11010877.830487017,-10765141.350404842,0.53821695
4770,2024-01-20 00:01:00,52.43,52.375,52.43,52.375,128004,1705680060,52.685,0.3100000000000023,0.005918854415274506,True,78.49008388102996,67.21520307382369,101.0398454954425,40.471429894477,0.004122106862339173,0.0031238024077957006,0.0633571428571439,-11024326,-11015360.553658012,-10775305.454310535,0.5913993
4774,2024-01-20 00:05:00,52.47,52.465,52.485,52.449,144872,1705680300,52.61,0.14499999999999602,0.0027637472600780715,False,79.89501401768612,69.99205903070089,99.7009239916566,62.076145445356914,0.0036770009523533404,0.004189330352512268,0.06164285714285812,-10942550,-10951198.010599114,-10803677.949807376,0.53821695
4778,2024-01-20 00:09:00,52.623,52.635,52.644,52.623,122296,1705680540,52.476,-0.15899999999999892,-0.003020803647762875,False,84.11493794011604,73.06325542830814,106.21830296373184,98.62840958842503,0.007232650521366291,0.009301675252106883,0.06685714285714235,-9883118,-10255833.458883777,-10713613.501399223,0.60937166
4779,2024-01-20 00:10:00,52.647,52.59,52.647,52.59,152720,1705680600,52.492,-0.09800000000000608,-0.00186347214299308,False,84.40781304518363,73.81955926943317,105.58432059668456,95.01705808103392,0.007807886976010073,0.008958359885297635,0.0625714285714279,-10035838,-10182501.639255852,-10687034.069971804,0.60937166
4780,2024-01-20 00:11:00,52.63,52.685,52.685,52.63,316912,1705680660,52.52,-0.16499999999999915,-0.003131821201480481,False,85.44729217550473,74.59474146317127,107.15239360017162,101.28993015590619,0.008596049824784829,0.010172375522334342,0.06364285714285652,-9718926,-10027976.426170569,-10649069.047619969,0.51229376
7896,2024-02-01 00:07:00,53.245,53.25,53.277,53.24,122400,1706717220,53.296,0.045999999999999375,0.0008638497652582042,False,27.299834568723295,13.187607307611668,55.524289090946546,75.85018875926934,0.005568524505228208,0.0072348955590835285,0.06285714285714253,-9673582,-9564525.709787497,-9385068.430949364,0.52532876
7898,2024-02-01 00:09:00,53.193,53.245,53.245,53.155,153458,1706717340,53.342,0.09700000000000131,0.001821767302094118,False,30.9639849232348,15.358338061599552,62.17527864650529,51.30124040901951,0.005929573249346818,0.006140188140256161,0.06414285714285686,-9705510,-9676952.093238888,-9415490.26786214,0.5551777
7899,2024-02-01 00:10:00,53.235,53.295,53.295,53.21,118212,1706717400,53.37,0.07499999999999574,0.0014072614691808937,False,33.30832141222346,16.555003618307815,66.81495700005475,62.18033486152716,0.006195918879237764,0.0067286101390196555,0.06707142857142857,-9587298,-9647067.395492593,-9422227.825985193,0.5551777
7900,2024-02-01 00:11:00,53.265,53.255,53.275,53.248,109432,1706717460,53.305,0.04999999999999716,0.000938878978499618,False,35.06626127506449,17.789087462091594,69.62060890101029,65.44100309860713,0.006227224749944212,0.006289836491357104,0.06700000000000017,-9696730,-9663621.596995063,-9432992.61712303,0.5551777
7901,2024-02-01 00:12:00,53.261,53.255,53.305,53.255,125746,1706717520,53.305,0.04999999999999716,0.000938878978499618,False,36.88815077072351,19.06235834933372,72.5397356135031,66.67487919784341,0.006111547668260105,0.00588019350489189,0.0662857142857146,-9822476,-9716573.064663377,-9448266.475275068,0.5551777
7902,2024-02-01 00:13:00,53.245,53.225,53.255,53.225,92044,1706717580,53.335,0.10999999999999943,0.0020666979802724176,False,39.10248023824234,20.398366475260964,76.5107077642051,61.179255610067884,0.0057386695690252055,0.004992913370555406,0.06464285714285722,-9914520,-9782555.376442252,-9466550.927225066,0.5551777
7907,2024-02-01 00:18:00,53.46,53.459,53.481,53.459,150538,1706717880,53.458,-0.0010000000000047748,-1.8705924166272746e-05,False,56.370835692107974,29.19559728070907,110.7213125149058,103.30318129727961,0.009290222987107575,0.01102903073115083,0.058285714285713955,-9504964,-9574669.349984167,-9483533.172722833,0.5925076
7908,2024-02-01 00:19:00,53.485,53.435,53.485,53.433,145554,1706717940,53.39,-0.045000000000001705,-0.0008421446617385927,False,58.72389109041192,31.164150201355927,113.84337286852391,97.98128948680406,0.009776005950119541,0.010747571876143473,0.058428571428571274,-9650518,-9599952.233322779,-9490081.597321939,0.5925076
